,Code,PT,DOMES,Description,Lat,Lon,Height
221,KEW1,A,49864S001,Upper Keweenaw 1,47 13 37.4,271 22 32.4,163.6
222,WSLR,A,40141M001,Whistler,50 07 35.5,237 04 43.7,909.3
223,KAN1,A,49874S001,Kansas City 1,39 07 33.1,264 35 52.4,294.8
224,CHI1,A,49803S001,Cape Hinchinbrook 1,60 14 14.8,213 21 10.8,84.8
225,CLAR,A,49906M001,CLAR,34 06 35.7,242 17 28.2,373.6
226,YELL,A,40127M003,"YELLOWKNIFE, CANADA",62 28 51.2,245 31 09.4,180.9
227,DET1,A,49854S001,Detroit 1,42 17 50.4,276 54 16.9,145
228,POL2,A,12348M001,"Bishkek, Kyrghyzstan",42 40 47.1,74 41 39.3,1714.2
229,CSN1,A,49910S001,CSU Northridge,34 15 12.7,241 28 34.2,261.4
230,GRAS,A,10002M006,"Caussols, France",43 45 17.0,6 55 14.0,1319.3
231,MADR,A,13407S012,"ROBLEDO, SPAIN",40 25 44.9,355 45 01.2,829.4
232,MKEA,A,40477M001,"Mauna Kea, USA",19 48 04.8,204 32 37.1,3754.7
233,CIT1,A,40400S201,CIT1,34 08 12.1,241 52 21.7,215.3
234,JPLM,A,40400M007,"Pasadena, USA",34 12 17.3,241 49 36.3,424
235,CHL1,A,49845S001,Cape Henlopen 1,38 46 36.4,284 54 44.3,-13.5
236,GDAC,A,49882S001,Granada,37 46 31.6,257 49 11.9,1134.3
237,LONG,A,40485M001,"Irwindale, CA",34 06 42.8,241 59 47.7,74.3
238,DGAR,A,30802M001,"Diego Garcia Island, U",-7 16 10.8,72 22 12.8,-64.9
239,SHK1,A,49473M001,Sandy Hook 1,40 28 17.3,285 59 18.2,-24.6
240,SAG1,A,49475M001,Saginaw 1,43 37 43.1,276 09 44.0,149.2
241,NDBC,A,49459M001,Stennis,30 21 22.6,270 23 22.9,-11.7
242,ERLA,A,49859S001,Erlanger,39 01 23.5,275 23 38.7,253.9
243,PPT1,A,49890S001,Pigeon Point 1,37 11 13.5,237 36 36.1,7.8
244,FALE,A,50601S001,Faleolo Airport,-13 49 55.9,188 00 01.6,47.6
245,PLO3,A,49886S003,Point Loma 3,32 39 55.5,242 45 25.0,-22.7
246,CME1,A,49894S001,Cape Mendocino 1,40 26 30.3,235 36 13.1,305.5
247,PBL1,A,49891S001,Point Blunt 1,37 51 10.9,237 34 51.7,-8.1
