,Code,PT,DOMES,Description,Lat,Lon,Height
6425,P663,A,77001P414,SHWhalebakCN2007,41 31 54.9,237 50 49.4,2238
6426,P731,A,77001P432,LilJuniperCN2007,41 19 57.0,239 31 38.0,1391.3
6427,SHIN,A,77001P572,SHIN_BRGN_CN1996,40 35 30.0,239 46 29.8,1377.3
6428,SHLD,A,49771M001,Sheldon Wildlife Refug,41 52 06.1,240 59 03.5,1457.6
6429,SLAC,A,49523S001,SLAC_BARD_CN2002,37 24 59.4,237 47 44.6,63.7
6430,TIBB,A,49426M001,Tiburon Peninsula - BA,37 53 27.1,237 33 08.6,-21.1
6431,TUNG,A,77001P659,Tung_BRGN_NV1996,40 24 11.5,241 44 32.9,1414.8
6432,ZOA2,A,49697S002,Oakland 2,37 32 34.8,237 59 02.7,-4
6433,BIL6,A,77000P195,Billings 6,45 58 16.2,252 00 11.4,874.6
6434,BLW2,A,77000P202,BOULDER,42 46 01.6,250 26 31.9,2215.6
6435,HLID,A,77000P413,HLID_EBRY_ID1999,43 33 45.2,245 35 09.4,1769.7
6436,IDBB,A,77000P457,Idaho Falls,43 28 53.8,247 57 30.2,1427.7
6437,IDBY,A,77000P458,Rexburg,43 49 13.2,248 12 59.2,1493.1
6438,IDIF,A,77000P461,Idaho Falls,43 31 06.9,247 56 52.7,1438.1
6439,IDIR,A,77000P462,Irwin,43 24 34.1,248 42 11.8,1614.3
6440,IDSN,A,77000P466,Salmon,45 11 31.4,246 06 11.0,1184.6
6441,IDTD,A,49794S001,Idaho DOT,43 39 10.5,243 42 59.7,788.6
6442,MTDT,A,77000P940,HELENA,46 35 18.6,248 00 22.9,1217.2
6443,MTLW,A,77000P944,Lewistown,47 03 14.9,250 33 26.1,1236.4
6444,MTSU,A,77000P948,Bozeman,45 39 40.3,248 57 17.9,1494.9
6445,NOMT,A,77001P079,NOMT_EBRY_MT1999,45 35 48.9,248 22 12.6,1578
6446,P007,A,77001P206,SalmonFallNV2007,41 43 27.1,245 10 49.0,1686.6
6447,P030,A,77001P222,KemmererLFWY2005,41 44 59.3,249 29 13.8,2149.8
6448,P032,A,77001P224,RawlinsWWTWY2005,41 44 30.0,252 44 38.6,2167.3
6449,P033,A,77001P225,TenSleepTRWY2005,43 57 10.4,252 36 44.8,1375.9
6450,P045,A,77001P237,BirchCreekMT2006,45 22 58.3,247 22 58.1,1618.2
6451,P051,A,77001P241,BillingsAPMT2005,45 48 23.7,251 27 13.8,1081.1
6452,P052,A,77001P242,LRRnchJrdnMT2006,47 22 29.0,252 58 52.7,858.6
6453,P054,A,77001P244,TEREkalakaMT2006,45 50 46.8,255 33 30.8,1093.1
6454,P055,A,77001P245,GlendiveWTMT2006,47 07 00.1,255 18 53.5,667.8
6455,P057,A,77001P247,HILL72____UT2004,41 45 23.6,247 22 36.6,1382.2
6456,P100,A,77001P258,ParkValleyUT2007,41 51 24.4,246 42 20.8,1883.5
6457,P121,A,77401P279,HNSVALLY_UT2004,41 48 12.1,247 18 06.1,1452.4
6458,P122,A,77401P280,CNRSPRNGS_UT2004,41 38 07.3,247 40 05.0,1293.2
6459,P351,A,77001P338,Galena_Su_ID2008,43 52 27.8,245 16 51.0,2692.6
6460,P675,A,77001P417,Holbrook__ID2006,42 12 43.9,247 16 52.2,1559.1
6461,P681,A,77001P418,MedicineLgID2006,44 23 59.1,247 21 48.6,1976.1
6462,TSWY,A,77001P658,TSWY_EBRY_WY2001,43 40 26.7,249 24 09.0,2190.7
6463,WYSH,A,77001P900,Sheridan,44 48 01.7,252 59 24.2,1220.7
6464,GOBS,A,49766M001,GOBS_PNGA_WA1997,45 50 19.7,239 11 07.1,621.5
6465,GWN6,A,77000P398,Appleton 6,45 46 57.4,238 40 21.8,733.2
6466,LOLO,A,77000P592,LOLO,46 45 46.2,245 54 11.2,1109.3
6467,LWST,A,77000P638,Lewiston,46 22 23.4,242 59 51.6,427.1
6468,P020,A,77001P215,DRYLNDRSH_WA2004,47 00 07.9,241 26 03.2,480.1
6469,P023,A,77001P216,McCallAir_ID2007,44 53 54.3,243 53 49.1,1521.6
6470,P372,A,77001P342,EnterpriseOR2007,45 25 41.2,242 44 54.0,1208.3
6471,P394,A,77001P347,BakerCity_OR2007,44 50 05.5,242 12 01.3,1010.7
6472,P422,A,77001P350,Foot_Hill_ID2007,46 47 52.3,243 01 13.1,843.7
6473,PDTN,A,77001P472,PENDLETON,45 39 57.4,241 14 35.0,394.4
6474,P025,A,77001P217,Bndry_Air_ID2007,48 43 51.6,243 42 44.9,695.5
6475,CHO5,A,77000P249,Chico 5,39 25 57.4,238 20 06.1,16.6
6476,CHO6,A,77000P250,Chico 6,39 25 58.3,238 20 06.4,17.2
6477,FARB,A,49443M001,Farallon Islands,37 41 49.9,236 59 57.2,-21.8
6478,LNC2,A,49531S002,Lincoln 2,38 50 47.4,238 38 58.0,5.9
6479,P059,A,49374M001,PointArenaCN2006,38 55 42.0,236 16 25.6,-11.3
6480,P159,A,77001P269,BearRvrRdgCN2006,40 30 17.2,235 43 01.9,608.2
6481,P162,A,49408M001,RedwoodsCCCN2004,40 41 27.9,235 45 46.6,-6.5
6482,P164,A,77001P270,PrattMtn__CN2004,40 07 09.3,236 18 23.9,1148.3
6483,P176,A,77001P278,MillsCreekCN2007,37 28 18.3,237 38 34.2,433.8
6484,P181,A,77001P279,MillerKnoxCN2005,37 54 52.3,237 37 23.6,72.2
6485,P183,A,77001P280,BodegaHeadCN2006,38 18 49.1,236 55 52.0,10.4
6486,P185,A,77001P281,LilRvrAir_CN2006,39 15 40.6,236 15 02.3,146.4
6487,P190,A,77001P283,UkiahNorthCN2005,39 14 31.0,236 47 45.4,202.8
6488,P192,A,77001P284,PotrVlySchCN2005,39 19 11.0,236 53 41.3,259.7
6489,P196,A,77001P285,MeachumLflCN2006,38 17 53.3,237 15 26.4,90.5
6490,P198,A,77001P286,PetalumAirCN2004,38 15 35.5,237 23 33.1,-4.6
6491,P206,A,77401P288,CrazyCreekCN2006,38 46 40.1,237 25 27.1,283.6
6492,P210,A,77401P292,ElkhrnSlghCN2005,36 48 58.0,238 16 05.3,3
6493,P222,A,77001P288,CoyotHillsCN2004,37 32 21.2,237 55 00.2,53.5
6494,P224,A,49405M001,SibleyVolcCN2005,37 51 50.0,237 46 51.3,407.4
6495,P225,A,77001P289,CullCanyonCN2005,37 42 49.9,237 56 30.0,117.2
6496,P230,A,77001P290,MorganTrtyCN2005,37 49 08.2,238 12 48.9,648
6497,P245,A,77001P293,YOSTurtleDCN2008,37 42 47.2,240 17 37.9,1579.8
6498,P271,A,77001P301,Woodland1_ca2004,38 39 26.4,238 17 07.6,-18.2
6499,P277,A,77001P302,PigeonPt__CN2007,37 11 32.5,237 37 59.2,115.3
6500,P305,A,77001P316,Planada___CN2005,37 21 07.9,239 48 11.6,96.1
6501,P306,A,77001P317,WildcatCrkCN2006,37 47 42.6,239 21 19.9,82.5
6502,P314,A,77001P320,CahtoPeak_CN2004,39 41 08.3,236 25 05.3,1251.9
6503,P335,A,77001P327,BlackButteCN2008,39 43 34.2,237 07 34.9,2229.5
6504,P336,A,77001P328,HubbardRdgCN2007,39 31 41.0,237 34 10.2,286.7
6505,P344,A,77001P332,VinaHelitkCN2006,39 55 44.8,237 58 19.2,49.8
6506,PPT5,A,77001P493,Pigeon Point 5,37 11 13.5,237 36 36.1,8
6507,CTMC,A,77000P291,CDOT GOLDEN,39 43 17.5,254 48 25.6,1819
6508,EC01,A,77000P322,Eagle,39 39 06.5,253 09 08.2,1986.8
6509,NEAP,A,77001P036,NDOR Arapahoe,40 18 21.1,260 05 40.6,646.3
6510,P036,A,77001P228,ANGELFIRE_NM2004,36 25 12.9,254 42 22.8,2529.9
6511,P037,A,77001P229,FREEMONTAPCO2004,38 25 18.3,254 53 43.1,1616.9
6512,P040,A,77001P232,LamarArpt_CO2004,38 04 17.3,257 18 46.8,1102.6
6513,P041,A,77001P233,MARSHALL FIELD,39 56 58.1,254 48 20.6,1728.8
6514,P042,A,77001P234,Wheatland_WY2004,42 03 05.4,255 05 21.8,1422.4
6515,PUB5,A,77001P509,Pueblo 5,38 17 12.6,255 39 16.1,1414.4
6516,PUB6,A,77001P510,Pueblo 6,38 17 13.4,255 39 16.2,1414.5
6517,R301,A,77001P513,CRAWFORD,38 39 23.7,252 24 32.5,2024.2
6518,ARM3,A,77000P137,Mountain Home 3,36 22 09.2,267 37 36.6,227.7
6519,HVLK,A,49879S001,Haviland,37 39 05.2,260 53 35.6,621.3
6520,ICT2,A,77000P451,Wichita ICT2,37 45 06.4,262 37 54.7,381.9
6521,ICT3,A,77000P452,Wichita ICT3,37 45 09.3,262 47 01.5,401.3
6522,ICT5,A,77000P454,Wichita ICT5,37 47 12.0,262 22 27.2,411.1
6523,KST6,A,77000P552,Topeka 6,39 02 39.6,263 57 39.1,302.8
6524,KSU1,A,77000P553,KSU1_KSUN_KS2006,39 06 02.7,263 23 25.8,325.6
6525,MOAL,A,77000P818,MoDOT Albany,40 15 20.7,265 42 01.0,253.8
6526,MOBO,A,77000P827,MoDOT Boonville,38 55 52.5,267 13 16.3,205.6
6527,MOBR,A,77000P829,MoDOT Branson,36 42 35.2,266 46 36.3,288.7
6528,MOBT,A,77000P830,MoDOT Butler,38 15 26.9,265 36 23.9,229.3
6529,MOBU,A,77000P831,MoDOT Buffalo,37 39 35.0,266 53 49.4,305.5
6530,MOCA,A,12753M002,MoDOT Carthage,37 10 39.1,265 38 32.7,270
6531,MOCD,A,77000P833,MoDOT Camdenton,38 02 09.4,267 13 36.8,265.9
6532,MOCL,A,77000P836,MoDOT Clinton,38 23 19.7,266 14 38.6,207
6533,MOCR,A,77000P840,MoDOT Cameron,39 44 48.5,265 46 07.7,269.5
6534,MOCS,A,77000P841,MoDOT Cassville,36 38 48.2,266 05 39.6,391.6
6535,MOEL,A,77000P848,MoDOT Eldon,38 20 49.7,267 24 16.6,261.4
6536,MOGF,A,77000P851,MoDOT Greenfield,37 25 45.5,266 09 13.9,299.6
6537,MOHV,A,77000P855,MoDOT Harisonvile,38 36 33.1,265 40 47.0,241.5
6538,MOKV,A,77000P860,MoDOT Keytesville,39 25 55.7,267 04 05.0,172.8
6539,MOMO,A,19616M001,MoDOT Monett,36 55 00.5,266 01 00.9,380.6
6540,MOMV,A,77000P868,MoDOT Maryville,40 21 29.4,265 09 11.9,277.9
6541,MONC,A,77000P871,MoDOT New Cambria,39 45 31.1,267 15 25.9,219.8
6542,MONE,A,77000P872,MoDOT Nevada,37 51 56.7,265 39 01.5,221.3
6543,MORM,A,77000P887,MoDOT Richmond,39 16 39.0,266 04 25.8,198
6544,MOSB,A,77000P888,SEILER BELTON,38 49 48.7,265 27 55.5,301.1
6545,MOSD,A,77000P890,MoDOT Sedalia,38 41 31.9,266 44 56.0,231.9
6546,MOSE,A,77000P891,MoDOT Seymour,37 09 20.8,267 14 45.6,471.8
6547,MOSF,A,77000P892,MODOT SPRINGFIELD,37 14 30.3,266 46 12.4,395.7
6548,MOSH,A,77000P894,MoDOT Shelbina,39 41 54.7,267 56 50.1,203.2
6549,MOST,A,77000P899,MoDOT Steelville,37 58 13.4,268 39 26.8,195.6
6550,MOSV,A,77000P900,MoDOT Savannah,39 57 15.1,265 09 08.6,319.9
6551,MOVE,A,77000P904,MoDOT Vienna,38 11 29.1,268 03 04.7,240.1
6552,MOWB,A,77000P906,MoDOT Warrensburg,38 48 52.2,266 15 31.3,201.7
6553,MOWR,A,77000P907,MoDOT Warrenton,38 48 52.7,268 50 19.0,229.7
6554,MOWS,A,77000P908,MoDOT Willow Sprs,36 58 11.7,268 04 48.4,350
6555,MOWW,A,77000P909,MoDOT Warsaw,38 15 12.1,266 38 17.6,191.7
6556,NEYK,A,77001P055,NDOR YORK,40 50 35.4,262 24 21.6,480.6
6557,OKAO,A,77001P179,ANADARKO,35 04 35.0,261 45 14.7,339.3
6558,OKBF,A,77001P181,BUFFALO,36 49 40.9,260 21 31.1,538.8
6559,OKCL,A,77001P182,Clinton,35 28 59.3,261 01 42.7,469.6
6560,OKDN,A,77001P183,DUNCAN,34 28 45.5,262 02 00.4,314.3
6561,OKDT,A,49688S001,Oklahoma City,35 29 24.4,262 29 32.2,365.5
6562,DP1A,A,77000P306,DUPAGE CNTY COOP,41 52 02.5,271 51 26.3,207.3
6563,INAB,A,77000P471,INDOT ALBANY,40 17 53.7,274 47 18.7,266
6564,INMT,A,77000P493,Indianapolis,39 46 16.1,273 57 25.0,231.3
6565,INRN,A,77000P499,RENSSELAER,40 56 47.0,272 51 37.4,176.4
6566,KA20,A,77000P529,PERU,41 19 42.3,270 51 12.0,158.9
6567,KA21,A,77000P530,WOODFORD,40 47 29.3,270 48 14.2,192
6568,MIBC,A,77000P689,Battle Creek,42 19 18.6,274 47 50.6,223.3
6569,MICO,A,77000P695,Coopersville,43 03 36.9,274 03 12.8,170.2
6570,MIHO,A,77000P708,Holland,42 48 50.9,273 54 57.6,158.9
6571,BIGR,A,77000P192,BIG RAPIDS,43 40 44.9,274 30 44.1,284.5
6572,MIMQ,A,77000P724,MARQUETTE,46 32 43.9,272 37 16.6,155.1
6573,MISH,A,77000P742,South Haven,42 23 02.9,273 44 07.4,167.7
6574,MITU,A,77000P749,Houghton,47 06 39.8,271 26 53.7,247.8
6575,MPLE,A,49639S001,Mt. Pleasant,43 36 54.2,275 14 17.7,200.7
6576,MTMS,A,77000P945,MONTANA STATE UNIVERSI,48 32 27.4,250 18 48.0,773.4
6577,P046,A,77001P238,ClearwaterMT2006,47 01 46.5,246 40 05.7,1290.3
6578,P049,A,77001P239,Armington_MT2006,47 20 59.8,249 05 37.5,1186.1
6579,P053,A,77001P243,WhitewaterMT2007,48 43 33.8,252 16 28.4,815
6580,PLS5,A,77001P478,Polson 5,47 39 49.5,245 53 09.8,974.1
6581,EYAC,A,49402M001,EYAC_AKDA_AK2005,60 32 55.3,214 15 00.5,146
6582,GRNX,A,77000P388,GRNX_AKDA_AK2004,63 50 07.7,211 01 18.5,594.4
6583,POT6,A,77001P491,Potato Point 6,61 03 22.7,213 18 09.5,37.2
6584,SELD,A,49435M001,SELD_AKDA_AK2000,59 26 44.5,208 17 35.9,20.4
6585,AB22,A,77000P015,IlliamnaHPAK2006,59 53 57.5,205 18 06.2,199.8
6586,AB28,A,77000P018,Rainy_PassAK2006,62 05 37.7,207 11 06.2,1582.7
6587,AB45,A,77000P026,SagRivrDOTAK2007,68 45 37.7,211 07 43.8,507
6588,AC07,A,77000P034,Buckland__AK2007,65 57 40.6,198 42 48.1,176.3
6589,AC08,A,77000P035,CapDouglasAK2007,58 55 43.5,206 21 19.0,644.2
6590,AC50,A,77000P057,BaldyMtn__AK2007,65 33 13.8,195 26 00.3,516.8
6591,AC72,A,77000P069,DonnellyC_AK2002,63 41 42.2,214 06 44.2,558.8
6592,AC74,A,77000P070,Cantwello_AK2002,63 27 51.6,211 11 33.8,668.6
6593,COL2,A,40524M001,Colima,19 14 39.9,256 17 53.2,528.8
6594,NNOR,A,50181M001,"New Norcia, Australia",-31 02 55.4,116 11 33.7,234.8
6595,MMD1,A,77000P759,Merida WAAS,20 55 54.8,270 20 13.7,28.7
6596,BOAV,A,41636M001,Boa Vista,2 50 42.6,299 17 55.9,69.5
6597,CHIN,A,49582M001,Chin Key West,24 33 01.7,278 11 34.3,-15.1
6598,TOL2,A,40515M001,Toluca,19 17 35.6,260 21 23.4,2651.7
6599,ISCO,A,40611M001,CocosIslndCR2011,5 32 39.6,272 56 39.0,10.4
6600,FLC5,A,77000P341,Card Sound 5,25 25 53.8,279 31 58.9,-18.3
6601,KYW6,A,49852S006,Key West 6,24 34 56.3,278 20 49.9,-13.7
6602,MCD5,A,49778S005,Mac Dill 5,27 50 59.3,277 28 03.6,-15.7
6603,AL30,A,77000P084,ALDOT Third Division O,33 31 56.4,273 08 47.7,148.5
6604,AL35,A,77000P085,ALDOT 3 DIV DIS 5,33 09 54.4,273 14 35.4,146.4
6605,AL60,A,77000P088,ALDOT 6 DIV OFF,32 24 40.9,273 43 46.0,44.7
6606,AL81,A,77000P091,Aldot 8 Div Dis 1,32 34 32.5,271 49 05.6,21.1
6607,AL82,A,77000P092,ALDOT 8 DIV DIS 2,32 15 26.8,272 22 27.0,25.8
6608,AL84,A,77000P093,ALDOT 8 DIV DIS 4,31 42 01.3,272 12 38.9,111.5
6609,AL92,A,77000P095,ALDOT 9 DIV DIS 2,30 54 59.0,272 13 27.5,61
6610,ALAN,A,77000P097,Andalusia Pol Dep,31 18 26.5,273 30 57.7,85.3
6611,ALBU,A,77000P099,Choctaw Elem Sch,32 04 53.9,271 46 00.6,16.9
6612,ALCE,A,77000P100,ADHR OFFICE,32 56 45.6,272 50 57.7,56.2
6613,ALCN,A,77000P102,Centre High Sch,34 09 46.9,274 20 28.9,164.9
6614,ALCU,A,77000P104,Cullman RR Depot,34 10 47.5,273 09 18.4,222.8
6615,ALDS,A,77000P106,Double Sprngs Sch,34 08 53.4,272 35 42.4,226.2
6616,ALEB,A,77000P107,WS NEAL SCHOOL,31 05 29.2,272 56 39.6,13.5
6617,ALFA,A,77000P108,Fayette Fire Sta,33 41 06.7,272 10 14.4,89.2
6618,ALFO,A,77000P109,Foley,30 25 01.0,272 19 29.7,3.1
6619,ALHC,A,77000P111,Pleasant Grve Sch,33 31 25.4,274 21 54.5,256.6
6620,ALHL,A,77000P112,Appalchn Elem Sch,33 53 15.2,273 36 07.3,330.8
6621,ALJA,A,77000P113,Crthouse Annex 2,33 49 54.8,272 43 20.7,84.3
6622,ALLA,A,77000P114,County Eng Office,32 55 02.6,274 35 58.1,237.2
6623,ALNB,A,77000P117,AL COOP EXT BLDG,31 22 38.9,274 05 02.2,106.9
6624,ALRE,A,77000P119,Repton Jr Hgh Sch,31 24 40.6,272 45 56.7,85.3
6625,ALSE,A,77000P120,Wallace Comm Coll,32 26 50.7,272 59 17.5,29.8
6626,ALTA,A,77000P121,AL IND DEAF BLIND,33 25 24.5,273 52 43.6,148.6
6627,FLE5,A,77000P344,Eglin 5,30 38 36.9,273 26 53.0,47
6628,FLE6,A,77000P345,Eglin 6,30 38 37.2,273 26 54.0,46.6
6629,MCN5,A,49479M002,Macon 5,32 41 43.1,276 26 22.0,60.5
6630,MOSL,A,77000P896,MoDOT Silva,37 10 38.1,269 32 07.5,97.1
6631,SAV6,A,77001P545,Savannah 6,32 08 19.3,278 18 12.2,8.7
6632,AL20,A,77000P083,ALDOT Second Division,34 42 37.1,272 20 14.2,131.9
6633,ALBE,A,77001P929,Franklin Tech Ctr,34 28 31.5,272 08 07.6,226.5
6634,ALNC,A,77000P118,R A HUBBARD SCH,34 40 52.6,272 41 25.9,156.8
6635,ARBT,A,77000P129,BATESVILLE,35 42 35.5,268 22 17.2,92
6636,ARPG,A,77000P145,PARAGOULD,36 03 32.8,269 28 52.3,68.4
6637,GABN,A,77000P361,eGPS Braselton,34 08 07.1,276 13 21.4,277.2
6638,GTAC,A,77000P391,SPACE CAMP COOP,34 42 39.8,273 20 47.6,193
6639,HTV6,A,77000P423,Hartsville 6,36 21 27.3,273 54 36.8,167.5
6640,INAS,A,77000P472,ASHBORO,39 23 22.2,272 53 20.3,153.3
6641,INCB,A,77000P476,INDOT COLUMBUS,39 11 50.5,274 02 17.0,163.7
6642,INCL,A,77000P477,CLOVERDALE,39 32 11.1,273 11 54.4,248.7
6643,INDA,A,77000P479,DALE,38 11 42.2,273 01 33.9,126.1
6644,INJS,A,77000P487,JASPER,38 24 30.0,273 03 40.7,154.5
6645,INMD,A,77000P491,MADISON,38 50 03.1,274 34 43.7,231.1
6646,INSG,A,77000P501,SCOTTSBURG,38 41 03.1,274 12 16.6,143
6647,INSY,A,77000P503,SEYMOUR,38 57 36.3,274 08 17.5,157.5
6648,KA14,A,77000P525,EIU COOP,39 28 49.7,271 48 53.8,181.6
6649,KYBU,A,77000P557,GEN BUTLER SRP,38 40 25.7,274 50 42.2,193.3
6650,KYTB,A,77000P564,KY HWY DIST 2,37 21 11.6,272 30 11.6,134
6651,KYTE,A,77000P567,KY HWY DIST 5,38 16 35.9,274 24 05.7,156.6
6652,LOU6,A,77000P596,Louisville 6,38 00 37.9,274 42 04.6,190.5
6653,MOBE,A,77000P823,MoDOT Bunker,37 27 19.3,268 47 03.2,387.9
6654,MOBF,A,77000P824,MoDOT Bellefont,38 45 51.5,269 45 12.2,131.5
6655,MOBG,A,77000P825,MoDOT Bowl Green,39 20 51.8,268 47 31.6,239.6
6656,MOCH,A,77000P835,MoDOT Charleston,36 55 05.2,270 40 52.3,70.1
6657,MOCN,A,77000P838,MoDOT Canton,40 08 36.7,268 27 22.2,158.3
6658,MOCO,A,77000P839,MoDOT Columbia,38 59 32.0,267 42 55.0,206.6
6659,MODR,A,77000P844,MoDOT Drake,38 27 45.4,268 32 05.0,237.1
6660,MODX,A,77000P845,MoDOT Dexter,36 48 24.8,270 01 17.0,87.9
6661,MOEB,A,77000P846,MODOT Elsberry,39 10 44.1,269 12 44.4,109
6662,MOED,A,77000P847,MoDOT Edina,40 11 11.6,267 49 29.6,193.6
6663,MOHL,A,77000P852,MoDOT Hannibal,39 41 43.5,268 35 54.9,168.9
6664,MOHS,A,77000P853,MODOT Houston,37 20 17.5,268 03 36.3,342.1
6665,MOHT,A,77000P854,MODOT Hayti,36 14 37.9,270 16 18.1,55.7
6666,MOJC,A,77000P857,MoDOT Jeff City,38 34 47.3,267 42 19.2,200
6667,MOJK,A,77000P858,MoDOT Jackson,37 24 44.4,270 20 59.7,115.8
6668,MOKE,A,77000P859,MoDOT Kennett,36 13 17.1,269 55 35.5,52.8
6669,MOMG,A,77000P865,MoDOT Mtn Grove,37 07 51.6,267 41 20.0,419.7
6670,MONF,A,77000P873,MoDOT Nebo,37 34 19.5,267 39 26.6,311.4
6671,MOPA,A,77000P877,MoDOT Patton,37 31 07.6,269 59 15.8,184.9
6672,NCTR,A,77001P013,Troy,35 22 01.8,280 07 47.2,142.7
6673,NCWR,A,77001P021,Warrenton,36 23 41.7,281 49 46.2,74.9
6674,NCZO,A,77001P023,Asheboro 2,35 37 49.4,280 14 06.2,209
6675,SCLC,A,77001P554,Lake City Base,33 52 31.2,280 14 48.1,-4
6676,TND5,A,77001P653,DANDRIDGE 5,36 01 15.9,276 41 46.3,293.4
6677,TND6,A,77001P654,DANDRIDGE 6,36 01 15.7,276 41 47.4,293.5
6678,WVHU,A,77001P885,Marshall Univ-Hun,38 25 22.6,277 34 31.0,186.4
6679,COLB,A,49641S001,Columbus,39 57 35.1,276 57 15.2,185.2
6680,KYTF,A,77000P568,KY HWY DIST 6,39 02 40.9,275 25 23.0,228
6681,KYTI,A,77000P571,KY HWY DIST 9,38 25 20.0,276 15 01.9,258.6
6682,MOSG,A,77000P893,MoDOT Ste Gene,37 56 14.9,269 51 51.2,169.8
6683,NCWJ,A,77001P018,WEST JEFFERSON,36 23 34.9,278 31 17.7,933.5
6684,OHCD,A,77001P144,Cleveland,41 32 26.6,278 21 53.4,144.6
6685,OHLA,A,77001P157,Lake County CORS,41 43 35.5,278 42 48.9,162.3
6686,OHMA,A,77001P162,Marion OH,40 36 49.7,276 55 04.6,265.7
6687,OHPR,A,77001P169,PREBLE COUNTY,39 44 26.6,275 25 30.8,270.4
6688,OHSB,A,77001P172,South Bass Island,41 38 11.2,277 10 12.7,147.2
6689,P775,A,77001P434,PURDUE_U__IN2010,40 28 31.4,273 00 28.4,182.5
6690,PAAP,A,77001P449,Pittsburgh 2,40 26 40.2,280 02 27.8,312.5
6691,RRW1,A,77001P527,ROCK RIVER COOP,42 21 04.0,270 56 31.1,191.5
6692,SAG5,A,77001P534,Saginaw 5,43 37 43.1,276 09 44.0,149.4
6693,SAG6,A,77001P535,Saginaw 6,43 37 42.1,276 09 44.0,149.3
6694,SCCB,A,77001P549,BELLVILLE,38 30 46.1,270 00 54.1,157.1
6695,ECSD,A,77000P323,EROS_USGS_SD2006,43 44 01.3,263 23 09.5,444.4
6696,MNAS,A,77000P762,Ash Lake,48 17 38.5,267 01 46.5,348
6697,MNAV,A,77000P763,APPLE VALLEY,44 43 58.5,266 47 25.0,279.5
6698,MNBD,A,77000P765,Birchdale,48 37 39.7,265 55 57.7,318.9
6699,MNBE,A,77000P766,BLUE EARTH,43 39 46.3,265 52 40.4,302.4
6700,MNBJ,A,77000P767,Bemidji,47 30 04.5,265 03 44.4,402
6701,MNBV,A,77000P768,BEAVER CREEK,43 36 29.9,263 37 18.6,416.6
6702,MNCC,A,77000P770,CENTER CITY,45 23 56.0,267 10 39.1,269
6703,MNCL,A,77000P771,CLARA CITY,44 56 57.3,264 35 24.8,294.8
6704,MNDN,A,77000P772,DONALDSON,48 34 20.5,263 05 07.2,224.3
6705,MNDV,A,77000P774,DOVRAY,44 03 25.7,264 24 10.2,450.2
6706,MNEB,A,77000P775,ELBOW LAKE 2,45 59 23.3,264 01 32.5,344.2
6707,MNEM,A,77000P776,EMILY,46 41 17.0,266 02 43.7,357
6708,MNFF,A,77000P778,FERGUS FALLS,46 16 24.9,263 56 39.2,350.8
6709,MNGP,A,77000P779,GRAND RAPIDS,47 13 24.9,266 30 57.3,369.2
6710,MNHN,A,77000P783,HINCKLEY,45 59 05.6,267 03 06.0,287.5
6711,MNHW,A,77000P784,HOLLYWOOD,44 54 21.7,266 00 47.8,272.1
6712,MNHY,A,77000P785,Hickory Township,47 56 57.1,264 22 26.6,328.7
6713,MNJF,A,77000P787,JEFFERS,44 05 00.8,264 52 48.0,408.2
6714,MNKA,A,77000P788,WILLMAR,45 08 42.7,264 59 06.3,336.6
6715,MNLC,A,77000P789,LITTLE CHICAGO,44 28 41.9,266 42 27.5,276.7
6716,MNLK,A,77000P790,LAKEFIELD,43 38 19.3,264 52 53.0,431.9
6717,MNMA,A,77000P792,MILACA,45 52 32.8,266 20 09.2,339
6718,MNMG,A,77000P794,Margie,48 08 04.5,266 07 17.4,351.5
6719,MNMN,A,77000P795,MORTON,44 32 40.3,265 00 15.9,230.5
6720,MNMR,A,77000P796,MARIETTA,44 56 10.2,263 33 28.5,331.7
6721,MNMS,A,77000P797,MARSHALL,44 27 49.4,264 12 15.4,332.8
6722,MNOK,A,77000P798,OAKDALE,44 59 56.3,267 02 11.1,291.6
6723,MNRE,A,77000P802,REMER,47 03 30.6,266 05 35.8,387.3
6724,MNRV,A,77000P805,ROOSEVELT,48 47 21.8,264 56 55.4,336.5
6725,MNSB,A,77000P806,STARBUCK,45 29 17.6,264 26 16.2,363
6726,MNSC,A,77000P807,SAUK CENTRE,45 42 46.9,265 04 07.4,354.2
6727,MNSQ,A,77000P808,SQUAW LAKE,47 36 13.4,265 52 23.7,382.2
6728,MNVI,A,77000P812,VIRGINIA,47 31 23.8,267 26 18.5,414.4
6729,MNVN,A,77000P813,VERNDALE,46 24 48.3,264 56 43.5,386
6730,MNWH,A,77000P815,Waskish,48 09 00.6,265 29 16.9,332.4
6731,MORH,A,77000P885,Clay County Coop,46 53 03.1,263 14 10.3,265.2
6732,PNR5,A,77001P485,Pine River 5,46 51 48.6,265 16 39.8,416.4
6733,PNR6,A,77001P486,Pine River 6,46 51 48.6,265 16 38.6,416.4
6734,SFSD,A,77001P570,SIOUX FALLS COOP,43 34 19.4,263 16 17.3,427.4
6735,STP6,A,77001P601,St Paul 6,44 18 13.3,268 05 48.4,353.2
6736,WIS5,A,77001P866,Wisconsin Point 5,46 42 18.2,267 59 05.2,159.4
6737,ASCS,A,77000P148,ALFRED STATE COLL,42 15 19.0,282 12 10.8,549.7
6738,LOYS,A,77000P618,LOYOLA S,39 38 46.4,281 16 12.0,168.1
6739,LUMT,A,77000P636,LEHIGH UNIVERSITY,40 36 05.7,284 38 32.8,250.1
